Scarab gitrev: 3541854
Scarab started at Mon Oct  7 06:48:00 2024

Initialized Ramulator. 
** Heartbeat:   5% -- { 1000000 } -- 0.00 KIPS (38.46 KIPS)
** Heartbeat:  10% -- { 2000000 } -- 41.67 KIPS (40.00 KIPS)
** Heartbeat:  15% -- { 3000000 } -- 41.67 KIPS (40.54 KIPS)
** Heartbeat:  20% -- { 4000000 } -- 43.48 KIPS (41.24 KIPS)
** Heartbeat:  25% -- { 5000000 } -- 43.48 KIPS (41.67 KIPS)
** Heartbeat:  30% -- { 6000000 } -- 43.48 KIPS (41.96 KIPS)
** Heartbeat:  35% -- { 7000000 } -- 41.67 KIPS (41.92 KIPS)
** Heartbeat:  40% -- { 8000000 } -- 41.67 KIPS (41.88 KIPS)
** Heartbeat:  45% -- { 9000000 } -- 45.45 KIPS (42.25 KIPS)
** Heartbeat:  50% -- { 10000000 } -- 43.48 KIPS (42.37 KIPS)
** Heartbeat:  55% -- { 11000000 } -- 41.67 KIPS (42.31 KIPS)
** Heartbeat:  60% -- { 12000000 } -- 45.45 KIPS (42.55 KIPS)
** Heartbeat:  65% -- { 13000000 } -- 45.45 KIPS (42.76 KIPS)
** Heartbeat:  70% -- { 14000000 } -- 43.48 KIPS (42.81 KIPS)
** Heartbeat:  75% -- { 15000000 } -- 43.48 KIPS (42.86 KIPS)
** Heartbeat:  80% -- { 16000000 } -- 43.48 KIPS (42.90 KIPS)
** Heartbeat:  85% -- { 17000000 } -- 43.48 KIPS (42.93 KIPS)
** Heartbeat:  90% -- { 18000005 } -- 43.48 KIPS (42.96 KIPS)
** Heartbeat:  95% -- { 19000009 } -- 41.67 KIPS (42.89 KIPS)
** Core 0 Finished:    insts:20000000    cycles:20756053    time:6486266562500       -- 0.96 IPC (0.96 IPC) --  N/A  KIPS (43.01 KIPS)
Scarab finished at Mon Oct  7 06:55:45 2024

