Core, 0
Cumulative Cycles, 20806593            
Cumulative Instructions, 20000000            
Cumulative IPC, 0.96123
Periodic Cycles, 10333044            
Periodic Instructions, 10000000            
Periodic IPC, 0.96777

ICACHE_MISS_count,          3489
ICACHE_MISS_pct,        6.854
ICACHE_MISS_total_count,          7717
ICACHE_MISS_total_pct,        8.009

ICACHE_HIT_count,         47415
ICACHE_HIT_pct,       93.146
ICACHE_HIT_total_count,         88634
ICACHE_HIT_total_pct,       91.991
ICACHE_HIT_sum_count,         50904
ICACHE_HIT_sum_pct,      100.000
ICACHE_HIT_sum_total_count,         96351
ICACHE_HIT_sum_total_pct,      100.000
ICACHE_HIT_mean,         0.93
ICACHE_HIT_stddev,         0.90
ICACHE_HIT_total_mean,         0.92
ICACHE_HIT_total_stddev,         0.89

ICACHE_MISS_ONPATH_count,          2562
ICACHE_MISS_ONPATH_pct,       73.431
ICACHE_MISS_ONPATH_total_count,          5210
ICACHE_MISS_ONPATH_total_pct,       67.513

ICACHE_MISS_OFFPATH_count,           927
ICACHE_MISS_OFFPATH_pct,       26.569
ICACHE_MISS_OFFPATH_total_count,          2507
ICACHE_MISS_OFFPATH_total_pct,       32.487
ICACHE_MISS_OFFPATH_sum_count,          3489
ICACHE_MISS_OFFPATH_sum_pct,      100.000
ICACHE_MISS_OFFPATH_sum_total_count,          7717
ICACHE_MISS_OFFPATH_sum_total_pct,      100.000
ICACHE_MISS_OFFPATH_mean,         0.27
ICACHE_MISS_OFFPATH_stddev,         0.40
ICACHE_MISS_OFFPATH_total_mean,         0.32
ICACHE_MISS_OFFPATH_total_stddev,         0.43

ICACHE_MISS_NOT_PREFETCHED_count,            91
ICACHE_MISS_NOT_PREFETCHED_pct,        2.633
ICACHE_MISS_NOT_PREFETCHED_total_count,           341
ICACHE_MISS_NOT_PREFETCHED_total_pct,        4.510

ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IFETCH_count,             0
ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IFETCH_pct,        0.000
ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IFETCH_total_count,             0
ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IFETCH_total_pct,        0.000

ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_FDIP_count,             0
ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_FDIP_pct,        0.000
ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_FDIP_total_count,             0
ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_FDIP_total_pct,        0.000

ICACHE_MISS_MSHR_HIT_PREFETCHED_OFFPATH_count,          1153
ICACHE_MISS_MSHR_HIT_PREFETCHED_OFFPATH_pct,       33.362
ICACHE_MISS_MSHR_HIT_PREFETCHED_OFFPATH_total_count,          2839
ICACHE_MISS_MSHR_HIT_PREFETCHED_OFFPATH_total_pct,       37.548

ICACHE_MISS_MSHR_HIT_PREFETCHED_ONPATH_count,          2212
ICACHE_MISS_MSHR_HIT_PREFETCHED_ONPATH_pct,       64.005
ICACHE_MISS_MSHR_HIT_PREFETCHED_ONPATH_total_count,          4381
ICACHE_MISS_MSHR_HIT_PREFETCHED_ONPATH_total_pct,       57.942
ICACHE_MISS_MSHR_HIT_PREFETCHED_ONPATH_sum_count,          3456
ICACHE_MISS_MSHR_HIT_PREFETCHED_ONPATH_sum_pct,      100.000
ICACHE_MISS_MSHR_HIT_PREFETCHED_ONPATH_sum_total_count,          7561
ICACHE_MISS_MSHR_HIT_PREFETCHED_ONPATH_sum_total_pct,      100.000
