Scarab gitrev: 3541854
Scarab started at Mon Oct  7 06:55:29 2024

Initialized Ramulator. 
** Heartbeat:   5% -- { 1000000 } -- 0.00 KIPS (43.48 KIPS)
** Heartbeat:  10% -- { 2000000 } -- 43.48 KIPS (43.48 KIPS)
** Heartbeat:  15% -- { 3000000 } -- 41.67 KIPS (42.86 KIPS)
** Heartbeat:  20% -- { 4000000 } -- 43.48 KIPS (43.01 KIPS)
** Heartbeat:  25% -- { 5000000 } -- 41.67 KIPS (42.74 KIPS)
** Heartbeat:  30% -- { 6000000 } -- 43.48 KIPS (42.86 KIPS)
** Heartbeat:  35% -- { 7000000 } -- 41.67 KIPS (42.68 KIPS)
** Heartbeat:  40% -- { 8000000 } -- 43.48 KIPS (42.78 KIPS)
** Heartbeat:  45% -- { 9000000 } -- 40.00 KIPS (42.45 KIPS)
** Heartbeat:  50% -- { 10000000 } -- 41.67 KIPS (42.37 KIPS)
** Heartbeat:  55% -- { 11000000 } -- 41.67 KIPS (42.31 KIPS)
** Heartbeat:  60% -- { 12000000 } -- 41.67 KIPS (42.25 KIPS)
** Heartbeat:  65% -- { 13000000 } -- 41.67 KIPS (42.21 KIPS)
** Heartbeat:  70% -- { 14000000 } -- 43.48 KIPS (42.30 KIPS)
** Heartbeat:  75% -- { 15000000 } -- 40.00 KIPS (42.13 KIPS)
** Heartbeat:  80% -- { 16000000 } -- 41.67 KIPS (42.11 KIPS)
** Heartbeat:  85% -- { 17000000 } -- 43.48 KIPS (42.18 KIPS)
** Heartbeat:  90% -- { 18000000 } -- 43.48 KIPS (42.25 KIPS)
** Heartbeat:  95% -- { 19000000 } -- 43.48 KIPS (42.32 KIPS)
** Heartbeat: 100% -- { 20000000 } -- 43.48 KIPS (42.37 KIPS)
** Core 0 Finished:    insts:20000000    cycles:20337297    time:6355405312500       -- 0.98 IPC (0.98 IPC) --  N/A  KIPS (42.37 KIPS)
Scarab finished at Mon Oct  7 07:03:21 2024

