Scarab gitrev: 3541854
Scarab started at Mon Oct  7 06:59:43 2024

Initialized Ramulator. 
** Heartbeat:   5% -- { 1000001 } -- 0.00 KIPS (66.67 KIPS)
** Heartbeat:  10% -- { 2000001 } -- 71.43 KIPS (68.97 KIPS)
** Heartbeat:  15% -- { 3000001 } -- 66.67 KIPS (68.18 KIPS)
** Heartbeat:  20% -- { 4000002 } -- 58.82 KIPS (65.57 KIPS)
** Heartbeat:  25% -- { 5000003 } -- 66.67 KIPS (65.79 KIPS)
** Heartbeat:  30% -- { 6000003 } -- 58.82 KIPS (64.52 KIPS)
** Heartbeat:  35% -- { 7000003 } -- 62.50 KIPS (64.22 KIPS)
** Heartbeat:  40% -- { 8000004 } -- 71.43 KIPS (65.04 KIPS)
** Heartbeat:  45% -- { 9000005 } -- 66.67 KIPS (65.22 KIPS)
** Heartbeat:  50% -- { 10000006 } -- 66.67 KIPS (65.36 KIPS)
** Heartbeat:  55% -- { 11000006 } -- 55.56 KIPS (64.33 KIPS)
** Heartbeat:  60% -- { 12000007 } -- 76.92 KIPS (65.22 KIPS)
** Heartbeat:  65% -- { 13000007 } -- 66.67 KIPS (65.33 KIPS)
** Heartbeat:  70% -- { 14000007 } -- 62.50 KIPS (65.12 KIPS)
** Heartbeat:  75% -- { 15000007 } -- 62.50 KIPS (64.94 KIPS)
** Heartbeat:  80% -- { 16000007 } -- 62.50 KIPS (64.78 KIPS)
** Heartbeat:  85% -- { 17000007 } -- 71.43 KIPS (65.13 KIPS)
** Heartbeat:  90% -- { 18000007 } -- 62.50 KIPS (64.98 KIPS)
** Heartbeat:  95% -- { 19000007 } -- 62.50 KIPS (64.85 KIPS)
** Core 0 Finished:    insts:20000000    cycles:44795135    time:13998479687500      -- 0.45 IPC (0.45 IPC) --  N/A  KIPS (64.10 KIPS)
Scarab finished at Mon Oct  7 07:04:55 2024

