Core, 0
Cumulative Cycles, 7934745             
Cumulative Instructions, 20000000            
Cumulative IPC, 2.52056
Periodic Cycles, 3793936             
Periodic Instructions, 10000000            
Periodic IPC, 2.63579

ICACHE_MISS_count,          1567
ICACHE_MISS_pct,        0.481
ICACHE_MISS_total_count,          3703
ICACHE_MISS_total_pct,        0.551

ICACHE_HIT_count,        324394
ICACHE_HIT_pct,       99.519
ICACHE_HIT_total_count,        668273
ICACHE_HIT_total_pct,       99.449
ICACHE_HIT_sum_count,        325961
ICACHE_HIT_sum_pct,      100.000
ICACHE_HIT_sum_total_count,        671976
ICACHE_HIT_sum_total_pct,      100.000
ICACHE_HIT_mean,         1.00
ICACHE_HIT_stddev,         0.99
ICACHE_HIT_total_mean,         0.99
ICACHE_HIT_total_stddev,         0.99

ICACHE_MISS_ONPATH_count,          1548
ICACHE_MISS_ONPATH_pct,       98.787
ICACHE_MISS_ONPATH_total_count,          3328
ICACHE_MISS_ONPATH_total_pct,       89.873

ICACHE_MISS_OFFPATH_count,            19
ICACHE_MISS_OFFPATH_pct,        1.213
ICACHE_MISS_OFFPATH_total_count,           375
ICACHE_MISS_OFFPATH_total_pct,       10.127
ICACHE_MISS_OFFPATH_sum_count,          1567
ICACHE_MISS_OFFPATH_sum_pct,      100.000
ICACHE_MISS_OFFPATH_sum_total_count,          3703
ICACHE_MISS_OFFPATH_sum_total_pct,      100.000
ICACHE_MISS_OFFPATH_mean,         0.01
ICACHE_MISS_OFFPATH_stddev,         0.11
ICACHE_MISS_OFFPATH_total_mean,         0.10
ICACHE_MISS_OFFPATH_total_stddev,         0.29

ICACHE_MISS_NOT_PREFETCHED_count,             0
ICACHE_MISS_NOT_PREFETCHED_pct,        0.000
ICACHE_MISS_NOT_PREFETCHED_total_count,            47
ICACHE_MISS_NOT_PREFETCHED_total_pct,        1.282

ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IFETCH_count,             0
ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IFETCH_pct,        0.000
ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IFETCH_total_count,             0
ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IFETCH_total_pct,        0.000

ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_FDIP_count,             0
ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_FDIP_pct,        0.000
ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_FDIP_total_count,             0
ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_FDIP_total_pct,        0.000

ICACHE_MISS_MSHR_HIT_PREFETCHED_OFFPATH_count,            46
ICACHE_MISS_MSHR_HIT_PREFETCHED_OFFPATH_pct,        2.936
ICACHE_MISS_MSHR_HIT_PREFETCHED_OFFPATH_total_count,           419
ICACHE_MISS_MSHR_HIT_PREFETCHED_OFFPATH_total_pct,       11.426

ICACHE_MISS_MSHR_HIT_PREFETCHED_ONPATH_count,          1521
ICACHE_MISS_MSHR_HIT_PREFETCHED_ONPATH_pct,       97.064
ICACHE_MISS_MSHR_HIT_PREFETCHED_ONPATH_total_count,          3201
ICACHE_MISS_MSHR_HIT_PREFETCHED_ONPATH_total_pct,       87.292
ICACHE_MISS_MSHR_HIT_PREFETCHED_ONPATH_sum_count,          1567
ICACHE_MISS_MSHR_HIT_PREFETCHED_ONPATH_sum_pct,      100.000
ICACHE_MISS_MSHR_HIT_PREFETCHED_ONPATH_sum_total_count,          3667
ICACHE_MISS_MSHR_HIT_PREFETCHED_ONPATH_sum_total_pct,      100.000
ICACHE_MISS_MSHR_HIT_PREFETCHED_ONPATH_mean,         3.97
ICACHE_MISS_MSHR_HIT_PREFETCHED_ONPATH_stddev,         3.92
ICACHE_MISS_MSHR_HIT_PREFETCHED_ONPATH_total_mean,         3.83
ICACHE_MISS_MSHR_HIT_PREFETCHED_ONPATH_total_stddev,         3.60

ICACHE_HIT_ONPATH_count,        284620
