Scarab gitrev: 3541854
Scarab started at Mon Oct  7 07:15:54 2024

Initialized Ramulator. 
** Heartbeat:   5% -- { 1000000 } -- 0.00 KIPS (58.82 KIPS)
** Heartbeat:  10% -- { 2000006 } -- 66.67 KIPS (62.50 KIPS)
** Heartbeat:  15% -- { 3000010 } -- 71.43 KIPS (65.22 KIPS)
** Heartbeat:  20% -- { 4000011 } -- 111.11 KIPS (72.73 KIPS)
** Heartbeat:  25% -- { 5000011 } -- 58.82 KIPS (69.44 KIPS)
** Heartbeat:  30% -- { 6000018 } -- 62.50 KIPS (68.18 KIPS)
** Heartbeat:  35% -- { 7000020 } -- 71.43 KIPS (68.63 KIPS)
** Heartbeat:  40% -- { 8000025 } -- 71.43 KIPS (68.97 KIPS)
** Heartbeat:  45% -- { 9000025 } -- 111.11 KIPS (72.00 KIPS)
** Heartbeat:  50% -- { 10000025 } -- 66.67 KIPS (71.43 KIPS)
** Heartbeat:  55% -- { 11000031 } -- 58.82 KIPS (70.06 KIPS)
** Heartbeat:  60% -- { 12000031 } -- 71.43 KIPS (70.18 KIPS)
** Heartbeat:  65% -- { 13000032 } -- 83.33 KIPS (71.04 KIPS)
** Heartbeat:  70% -- { 14000032 } -- 111.11 KIPS (72.92 KIPS)
** Heartbeat:  75% -- { 15000033 } -- 76.92 KIPS (73.17 KIPS)
** Heartbeat:  80% -- { 16000035 } -- 52.63 KIPS (71.43 KIPS)
** Heartbeat:  85% -- { 17000035 } -- 76.92 KIPS (71.73 KIPS)
** Heartbeat:  90% -- { 18000035 } -- 71.43 KIPS (71.71 KIPS)
** Heartbeat:  95% -- { 19000038 } -- 142.86 KIPS (73.64 KIPS)
** Core 0 Finished:    insts:20000000    cycles:14147693    time:4421154062500       -- 1.41 IPC (1.41 IPC) --  N/A  KIPS (73.80 KIPS)
Scarab finished at Mon Oct  7 07:20:26 2024

