Core, 0
Cumulative Cycles, 13509949            
Cumulative Instructions, 20000000            
Cumulative IPC, 1.48039
Periodic Cycles, 6701120             
Periodic Instructions, 10000000            
Periodic IPC, 1.49229

EXECUTION_TIME_count, 2094100000000
EXECUTION_TIME_total_count, 4221859062500

NODE_CYCLE_count,       6701120
NODE_CYCLE_total_count,      13509949

NODE_INST_COUNT_count,      10000000
NODE_INST_COUNT_total_count,      20000000

NODE_INST_COUNT_FETCHED_count,      10000000
NODE_INST_COUNT_FETCHED_total_count,      20000000

NODE_UOP_COUNT_count,      12536991
NODE_UOP_COUNT_total_count,      25073846

FULL_WINDOW_STALL_count,       4014950
FULL_WINDOW_STALL_pct,       59.915
FULL_WINDOW_STALL_total_count,       8132266
FULL_WINDOW_STALL_total_pct,       60.195

FULL_WINDOW_MEM_OP_count,        415955
FULL_WINDOW_MEM_OP_pct,       12.229
FULL_WINDOW_MEM_OP_total_count,        854832
FULL_WINDOW_MEM_OP_total_pct,       12.402

FULL_WINDOW_FP_OP_count,       2922824
FULL_WINDOW_FP_OP_pct,       85.928
FULL_WINDOW_FP_OP_total_count,       5922477
FULL_WINDOW_FP_OP_total_pct,       85.925

FULL_WINDOW_OTHER_OP_count,         62684
FULL_WINDOW_OTHER_OP_pct,        1.843
FULL_WINDOW_OTHER_OP_total_count,        115322
FULL_WINDOW_OTHER_OP_total_pct,        1.673
FULL_WINDOW_OTHER_OP_sum_count,       3401463
FULL_WINDOW_OTHER_OP_sum_pct,      100.000
FULL_WINDOW_OTHER_OP_sum_total_count,       6892631
FULL_WINDOW_OTHER_OP_sum_total_pct,      100.000
FULL_WINDOW_OTHER_OP_mean,         0.90
FULL_WINDOW_OTHER_OP_stddev,         0.22
FULL_WINDOW_OTHER_OP_total_mean,         0.89
FULL_WINDOW_OTHER_OP_total_stddev,         0.21

RET_BLOCKED_DC_MISS_count,         34741
RET_BLOCKED_DC_MISS_pct,        0.518
RET_BLOCKED_DC_MISS_total_count,         93177
RET_BLOCKED_DC_MISS_total_pct,        0.690

RET_BLOCKED_L1_MISS_count,         25735
RET_BLOCKED_L1_MISS_pct,        0.384
RET_BLOCKED_L1_MISS_total_count,         69836
RET_BLOCKED_L1_MISS_total_pct,        0.517

RET_BLOCKED_L1_MISS_BW_PREF_count,            83
RET_BLOCKED_L1_MISS_BW_PREF_pct,        0.001
RET_BLOCKED_L1_MISS_BW_PREF_total_count,           537
RET_BLOCKED_L1_MISS_BW_PREF_total_pct,        0.004

RET_BLOCKED_L1_ACCESS_count,          9006
RET_BLOCKED_L1_ACCESS_pct,        0.134
RET_BLOCKED_L1_ACCESS_total_count,         23341
RET_BLOCKED_L1_ACCESS_total_pct,        0.173

RET_BLOCKED_MEM_STALL_count,         25735
RET_BLOCKED_MEM_STALL_pct,        0.384
RET_BLOCKED_MEM_STALL_total_count,         69836
RET_BLOCKED_MEM_STALL_total_pct,        0.517

RET_BLOCKED_OFFCHIP_DEMAND_count,             0
RET_BLOCKED_OFFCHIP_DEMAND_pct,        0.000
RET_BLOCKED_OFFCHIP_DEMAND_total_count,             0
RET_BLOCKED_OFFCHIP_DEMAND_total_pct,        0.000

OP_ISSUED_count,      12549802
OP_ISSUED_total_count,      25112989

OP_RETIRED_count,      12536991
OP_RETIRED_total_count,      25073846

REPLAY_SIGNALED_count,             0
REPLAY_SIGNALED_total_count,             0

REPLAY_COUNTED_count,             0
REPLAY_COUNTED_total_count,             0

OFF_CRITICAL_PATH_count,             0
OFF_CRITICAL_PATH_pct,         -nan
OFF_CRITICAL_PATH_total_count,             0
OFF_CRITICAL_PATH_total_pct,         -nan

ON_CRITICAL_PATH_count,             0
ON_CRITICAL_PATH_pct,         -nan
ON_CRITICAL_PATH_total_count,             0
ON_CRITICAL_PATH_total_pct,         -nan
ON_CRITICAL_PATH_sum_count,             0
ON_CRITICAL_PATH_sum_pct,         -nan
ON_CRITICAL_PATH_sum_total_count,             0
ON_CRITICAL_PATH_sum_total_pct,         -nan
ON_CRITICAL_PATH_mean,         -nan
ON_CRITICAL_PATH_stddev,         -nan
ON_CRITICAL_PATH_total_mean,         -nan
ON_CRITICAL_PATH_total_stddev,         -nan

LD_NO_DEPENDENTS_count,         74655
LD_NO_DEPENDENTS_pct,        1.870
LD_NO_DEPENDENTS_total_count,        149342
LD_NO_DEPENDENTS_total_pct,        1.871

LD_DEPENDENTS_count,       3917504
LD_DEPENDENTS_pct,       98.130
LD_DEPENDENTS_total_count,       7834619
LD_DEPENDENTS_total_pct,       98.129
LD_DEPENDENTS_sum_count,       3992159
LD_DEPENDENTS_sum_pct,      100.000
LD_DEPENDENTS_sum_total_count,       7983961
LD_DEPENDENTS_sum_total_pct,      100.000
LD_DEPENDENTS_mean,         0.98
LD_DEPENDENTS_stddev,         0.97
LD_DEPENDENTS_total_mean,         0.98
LD_DEPENDENTS_total_stddev,         0.97

LD_EXEC_CYCLES_0_count,             0
LD_EXEC_CYCLES_0_pct,        0.000
LD_EXEC_CYCLES_0_total_count,             0
LD_EXEC_CYCLES_0_total_pct,        0.000

LD_EXEC_CYCLES_1_count,             0
LD_EXEC_CYCLES_1_pct,        0.000
LD_EXEC_CYCLES_1_total_count,             0
LD_EXEC_CYCLES_1_total_pct,        0.000

LD_EXEC_CYCLES_2_count,             0
LD_EXEC_CYCLES_2_pct,        0.000
LD_EXEC_CYCLES_2_total_count,             0
LD_EXEC_CYCLES_2_total_pct,        0.000

LD_EXEC_CYCLES_3_count,            45
LD_EXEC_CYCLES_3_pct,       55.556
LD_EXEC_CYCLES_3_total_count,           100
LD_EXEC_CYCLES_3_total_pct,       57.143

LD_EXEC_CYCLES_4_count,            36
LD_EXEC_CYCLES_4_pct,       44.444
LD_EXEC_CYCLES_4_total_count,            75
LD_EXEC_CYCLES_4_total_pct,       42.857
LD_EXEC_CYCLES_4_sum_count,            81
LD_EXEC_CYCLES_4_sum_pct,      100.000
LD_EXEC_CYCLES_4_sum_total_count,           175
LD_EXEC_CYCLES_4_sum_total_pct,      100.000
LD_EXEC_CYCLES_4_mean,         3.44
LD_EXEC_CYCLES_4_stddev,         2.36
LD_EXEC_CYCLES_4_total_mean,         3.43
LD_EXEC_CYCLES_4_total_stddev,         2.31

ICACHE_STAGE_STARVED_count,           195
ICACHE_STAGE_STARVED_pct,        0.007
ICACHE_STAGE_STARVED_total_count,          3614
ICACHE_STAGE_STARVED_total_pct,        0.066

ICACHE_STAGE_NOT_STARVED_count,       2723789
ICACHE_STAGE_NOT_STARVED_pct,       99.993
ICACHE_STAGE_NOT_STARVED_total_count,       5447781
ICACHE_STAGE_NOT_STARVED_total_pct,       99.934
ICACHE_STAGE_NOT_STARVED_sum_count,       2723984
ICACHE_STAGE_NOT_STARVED_sum_pct,      100.000
ICACHE_STAGE_NOT_STARVED_sum_total_count,       5451395
ICACHE_STAGE_NOT_STARVED_sum_total_pct,      100.000
ICACHE_STAGE_NOT_STARVED_mean,         1.00
